     28691:	symbol=_environ;  lookup in file=a.out [0]
     28691:	symbol=_environ;  lookup in file=./libFoo.so [0]
     28691:	symbol=_environ;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=_environ;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=_environ;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=_environ;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__ctype32_b;  lookup in file=a.out [0]
     28691:	symbol=__ctype32_b;  lookup in file=./libFoo.so [0]
     28691:	symbol=__ctype32_b;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__ctype32_b;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__ctype32_b;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__ctype32_b;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=a.out [0]
     28691:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=./libFoo.so [0]
     28691:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__malloc_hook;  lookup in file=a.out [0]
     28691:	symbol=__malloc_hook;  lookup in file=./libFoo.so [0]
     28691:	symbol=__malloc_hook;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__malloc_hook;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__malloc_hook;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__malloc_hook;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=_dl_starting_up;  lookup in file=a.out [0]
     28691:	symbol=_dl_starting_up;  lookup in file=./libFoo.so [0]
     28691:	symbol=_dl_starting_up;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=_dl_starting_up;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=_dl_starting_up;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=_dl_starting_up;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=_dl_starting_up;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     28691:	symbol=__progname_full;  lookup in file=a.out [0]
     28691:	symbol=__progname_full;  lookup in file=./libFoo.so [0]
     28691:	symbol=__progname_full;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__progname_full;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__progname_full;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__progname_full;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=obstack_alloc_failed_handler;  lookup in file=a.out [0]
     28691:	symbol=obstack_alloc_failed_handler;  lookup in file=./libFoo.so [0]
     28691:	symbol=obstack_alloc_failed_handler;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=obstack_alloc_failed_handler;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=obstack_alloc_failed_handler;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=obstack_alloc_failed_handler;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__fpu_control;  lookup in file=a.out [0]
     28691:	symbol=__fpu_control;  lookup in file=./libFoo.so [0]
     28691:	symbol=__fpu_control;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__fpu_control;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__fpu_control;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__fpu_control;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=mallwatch;  lookup in file=a.out [0]
     28691:	symbol=mallwatch;  lookup in file=./libFoo.so [0]
     28691:	symbol=mallwatch;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=mallwatch;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=mallwatch;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=mallwatch;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=loc2;  lookup in file=a.out [0]
     28691:	symbol=loc2;  lookup in file=./libFoo.so [0]
     28691:	symbol=loc2;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=loc2;  lookup in file=/lib64/libm.so.6 [0]
